Q	V	A	T	G
750	290	2.5	90	5
800	650	3.5	109	9.875
770	290	2.5	95	8.23
760	360	3		8.442
710	370	3	83	7.1
800	530	3.5	103	8
800	340	3	100	8.2
760	420	4	98	7
780	490	3.5	103	8.1
780	570	4.5		7.5
800	530	4	116	7.38
740	630	3	102	6.73
740	465	3.5	104	7.6
800	660	3.5	117	7.9
				7.84
				7.45
				
780	540	3.5	112	7
760	550	3	82	
800	450	4	112	6.3
780	680	4.5	105	5.8
800	570			9.07
790	540	3.5	100	9.05
790	360	3	89	
780	310	2.5		6.9
705	310	2.5		6.9
770	380		99	
				9.45
				
770	590	3.5	111	9.23
790	500	4	102	8.13
790	485	2.5		8.086
				8.8
740	320	3.5	101	
770	435	3.5	110	9.1
				7.25
730	500	4	107	7.5
				
	270	3		6.4
790	520	2.5	101	7.898
				
770	290	3		7.8
760	370	3	94	7.421
790	530	4	111	9.6
770	485	4	101	6.56
720	540	3	94	
800	435	3.5	95	8.78
800	560	3	102	7.53
680	310	3		5.8
	670		109	
630	340	3.5	101	8.1
750	580	3.5	109	6.47
680	300	2.5	85	6.7
610	320	3	81	7.8
				
680	360	4		6.6
750	430	3.5	101	7.375
780	510	3.5	90	6.1
650	310	2.5		
770	420	3		
595	485	4	104	
750	310	2.5		
780	410	3.5	96	5.5
750	605	4	111	7.4
790	575	3.5		6.42
690	650	4	108	5.88
680	270	2		
800	530	4	114	8.51
				
				8.5
800	465	3.5	93	
				
680	800	3		8.75
730	270	3	85	
780	400	4		6
410	700	3		8.41
750	500	3.5	107	6.2
				
555	545	2.5	98	
770	395	4	100	7.16
800	320	3.5	100	8.7
700	350			8.4
800	410	3.5		
750	530	4	105	7
760	370	3.5	98	7.5
				
770	380	3	90	6.6
790	330	3.5	85	6.35
740	480	4	108	
				
800	560	4		7.82
750	560	3	95	7
750	580	4	107	7.268
710	620	3		6.9
720	465	3.5	96	
720	370	3	106	7.005
710	450	3	100	8.2
750	490	3	89	5.01
740	300	3.5	90	7.2
790	450	4		8.99
780	320	3		7.93
800	380	4	103	6
	450			7.29
800	560	3.5		7.2
790	460	3	92	9.05
				8.22
790	610	3		5.4
720	545	4		5.7
770	395		95	7.99
575	300	3		7.5
800	430	3	82	6.9
750	300	3	89	
770	530			8.8
780	330	2.5	84	6.45
335	280		91	6.5
800	515	3.5	99	6.8
770	545	3.5	105	7.5
800	450	3.5	107	7.9
790	515		106	7.7
780	430	3.5	103	5.5
				
800	500	4	106	6.9
760	450	3	108	6.5
790	370	3.5	105	7.9
740	590	3.5		6.6
710	390	3.5		6.65
780	545	3.5	102	9.293
665	665	4		8.3
760	660	3	110	7.65
740	530	4	114	7.76
790	515		106	7.8
800	800	6	119	8.75
770	435	3.5	90	8.59
760	380	3	100	9.575
720	500	3.5		6.4
800	630	4	114	8.98
730	395	3		7.8
790	650	4	112	8.54
710	350	3.5	90	9.1
665	320	3.5	85	6.67
720	330	3	81	6.525
790	545	3.5	102	9.3
770	530	3	106	7.248
800	360	3	85	7
710	460	3	100	6
720	310	2.5	83	
770	450	3	100	
790	450	3.5	110	7.43
790	530	3.5	93	6.3
				
750	570	3.5	107	6.66
800	510	3.5	94	6.753
800	400	3	91	7.9
				
750	360	4	94	
790	510	3	105	9.3
790	490	3.5		7.1
540	330		80	
790	440	3.5	104	6.4
800	530			5.7
720	605			
750	515	4	103	7.9
780	530	3.5	115	6.7
680	320	2		
				7.5
790	490	3.5	108	
740	340	3.5	93	7.5
720	320	3.5	102	8.47
800	720	4.5	114	6.912
780	240	2		
770	320	3	100	6.1
320	790	3	100	6.8
790	310	3.5	105	8.2
750	550	3.5	100	7.4
670	360	2.5	85	8
580	550	3	84	7.5
750	330	3	92	
665	435	4	102	
750	390	3.5	100	6.1
780	580	4	112	7.7
570	350	3	82	6.1
800	630			7.57
720	610	3	86	6.7
				
740	450	3	93	
770	485		96	
710	310	2.5		
780	465	3.5		5.8
700	270	3	100	6.55
770	380	3		8.01
790	410	4	105	5.893
800	450	4	108	7.5
760	380		93	
720	290	3.5	92	7.77
730	260	2.5	81	
800	560	3	107	5.8
				
750	340	3		7
800	545	3	104	7.1
770	480	4	102	7.28
740	320	3	88	7.1
780	450	3	102	8.76
570	360	3	72	
705	450	3.5	91	6.2
800	380	3	113	6.7
750	640	2.5		6.4
800	500	4.5	108	6.7
				
780	550	3	104	6.98
800	620	3.5	106	7.954
644	500	4		6.8
				6.85
720	500	3	102	7.5
770	530	4		6.88
800	470	3.5	92	6.83
740	560	3.5	104	5.8275
790	310	3	84	7.8
690	465	4		6.8
410	500	4.5		6.81
780	545	4	109	8.4
780	330	4	103	7.2
760	640	4	111	6.553
730	370	3		6.5
670	300	2.5		6
760	280	3		8.135
770	560	4.5	110	7.92
630	320	3.5	94	7
750	410	3.5	99	8.23
595	360	3.5		6.5
740	500	4	105	
				6.94
595	280	2.5	85	
660	230	3	77	6.8
710	300	3		7.012
760	520	3.5	114	8.49
660	420	3.5	114	7
600	260	2	79	
705	270			
750	470	4	106	7.747
800	395	4	105	6.9
				7.5
800	680	5		8.37
770	395	3	88	7.7
				
				
705	370	3		6.3
800	680	4	113	
680	410	3		
680	410	3		
790	560	4		8.3
750	320		79	7.86
770	580	4	116	7.63
770	485	3	109	7.2
680	470	3	85	
740	300			
				7.6
680	465	3		5.15
780	530	4	108	
740	290	3		6.4
760	290	3	94	6.9
800	485	4.5	108	7.668
690	490	3	82	7.45
700	440		95	
750	395	3	105	
760	420	3	100	7.9
				6.5
				5.803
690	340	3.5		6.842
800	450	3.5		6.95
710	420	3.5	103	6.7
740	515	4	110	5.7
770	435	4		
730	270	2.5		5.9
			85	6.8
800	720	3.5	112	9.1
790	460	3.5	102	8.4
690	370	3		6.5
780	650	3	110	7.4
				
750	430	3.5	96	6.3
790	465	3.5	104	7.8
				9.06
800	400	4	112	9.4
800	610	4	110	7.8
700	320	1.5		
770	410			7.8
				
780	330	4	103	7.2
720	395	3.5	95	
640	320	2.5	93	
750	410	2.5	90	
490	750	3	106	8.19
	390		93	
760	290	4		
760	465	4		
440	780	4		8.3
780	450	3.5	103	6.9
540	310	3.5	98	8.1
750	560	4	112	6.3
700	340	2.5		
644	410	3	91	6.2
800	330	3.5	92	8.34
780	560	3.5	102	7.1
800	490	3		8.3
790	300	2.5	88	
790	320	3	96	7.4
760	540	3.7		6.7
750	420	3	101	7.41
800	530	3	99	8.88
650	450	4.5	110	6.9
730	330	3.5		8.73
720	550	3.5	108	5.6
730	450	3.4	103	7.833
770	510	3	102	5.5
800	545	3.5	101	6.9
690	530	3		7.2
720	290	2		5.6
800	530	4		7.4
790	640	2.5		8.5
800	650	3.5	111	6.6
750	370	3.5	96	7.1
730	300	2.5	101	8.29
680	515			8.2
800	450	2		6.8
770	450	3.5	104	7.3
705	340	3		6.5
800	485	3	95	7.73
730	515	3	102	5.9
				7.7
770	410	3.5	98	6.7
740	370	3	95	7.04
800	340	2.5	80	8.23
760	435	4	95	6.1
770	450	4	108	6.8
770	485	3.5	103	8.338
720	410	3.5		8.42
770	690	3	105	7.116
700	400		107	
				7.74
770	530	3		6.1
800	745	4.5		8.5
790	435	3.5	103	7.3
644	515	4	115	8.21
790	330	3	91	6.84
705	395	3	92	6
740	320	2	84	7.5
790	575	4	113	8.58
730	515	3.5	110	8
800	440	4	107	7.75
760	690	4	112	6.23
510	280	2.5		
710	560	3		7.3
690	420	4	94	7.481
780	400	3.5	98	7.4
760	690	4.5	111	6.9
710	550	3	100	7.08
760	360	3		7
740	290	2.5		7.33
				
720	515	4	100	7.5
770	340	3.5	94	8.65
750	370	3	96	6
730	380	3.5	103	8.1
790	545	4	99	
720	390	3	85	7.5
690	410	3		6.5
770	370	3		8.5
690	440	3	99	6.4
				7.7
800	280			
740	360	3	108	7.23
644	435	3		7.1
				7.68
800	450	3.5		6.87
780	660	3	102	6.536
740	410	4	105	8.36
740	580	3.5	106	8.2
650	270	3	78	
760	660	4	110	6.53
800	590	4.5	117	7.9
705	290	3	86	7.656
700	530	4	106	
535	280	2		5.794
740	380			7.4
740	515	3.5	101	7.87
			82	
670	310	2	93	7.67
690	575	2.5	84	9.2
800	730	3.5	119	9.22
770	545	4		7.2
790	490	3.5	93	6.3
				
790	310			7.01
595	410	2.5	88	6.45
740	395	3.5	90	7.93
780	440	3	94	
705	420	3	91	6.503
760	630	3	102	6.969
730	520	4	100	5.72
595	395	3	96	
644	395			7.55
700	560	4	111	7.9
750	300	3		7.58
760	360	3	87	9.825
740	500	3.5	103	7
750	575	3.5		8.32
				
800	560	3.5	104	8
730	435	3	105	7
				
750	485		100	8.8
790	550	3	99	5.846
790	465	3.5		8
644	420		109	
720	360	3	95	7
				7.39
760	360	2.5	101	7.17
740	350	3.5	88	7.7
				
780	580	4		8.768
665	420	3.5	95	
740	290	2.5		8.7
720	530	4		
730	490	3.5	103	7.4
730	490	3.5	103	7.3
485	650	4	91	
680	450	3		6.92
800	340	3	105	7.14
740	410	3		7.7
790	450	3	100	7.25
575	280	3.5	79	
730	340	3		7
				8.24
760	360	3	89	
760	550	3	100	7.768
710	640	3.5	116	
690	395	2.5	91	7.6
800	435	3.5	101	8.43
660	330	3		5.5
740	370			6.7
				
730	490	3	102	7.3
730	420	3	107	6.3
760	510	3.5	108	7.3
730	545	3.5		7.8
730	560	3.5		6.581
730	340	3	82	5.4
790	470	3.5		6.5
800	500	5	106	7
				9
700	430	3.5		
750	450	3	91	6.8
			101	7.1
800	665	4.5	115	6.6
690	370	3	94	6.1
				
650	500	4	103	8.2
				7.6
665	310	3.5		6.5
				
				8.4
790	480	3	95	8
760	630	3	102	6.969
				6.9
705	370	3	100	7.05
780	370	3	91	9.5
720	330	4		
				6.8
800	560	3	100	7.431
			95	6.63
720	390	2.5	90	6.56
670	730	4.5	112	6
705	370	2.5	86	7
665	380	3	100	8.2
575	260	2.5		6.53
780	360	3		
644	280	3	85	
				
800	640	5	113	6.3
730	420	3.5	106	
720	370	3	80	7.2
730	460	2.5	82	7.3
730	370	4	107	7.58
770	500	3.5	106	6.9
750	450	3	100	
740	550	3.5	112	9.02
750	370	3.5	95	7.441
770	420	3.5	98	
760	440	3	93	7.6
770	480	3	103	7.7
800		3.5	100	6.6
780	370	3	96	6.6
720	420	3		
690	380	3		6.5
680	480	3	106	8.5
				6.3
770	320	2.5		
740	300	3	99	6.9
800	410		108	8.4
800	410		108	8.4
790	560			8.09
790	605	4	110	8.54
600	450	4	82	7
770	440	3	100	
760	395	4		6.7
770	440	3	100	7.8
800	650	4	116	9.8
				7.17
760	380	3	95	8.25
790	560	4		
800	530	4	103	8.2
800	670	4	110	6.93
760	465	4.5	110	6.3
730	420		89	5.98
680	330	2.5	83	6.3
720	380	3.5	87	6.084
760	600	3.5		6.634
800	500	3.5	92	8.3
780	520	2.5	95	8.46
				
				
760	460	3	97	
				7
740	515	3.5	110	7.5
				8.67
				8.58
535	435	3.5	95	
				
780	490	4.5	105	7.615
730	520	4	113	7.6
760	410	3		7.6
				
615	300	2.5	83	
780	600	3		9
615	320	2	102	6.7
740	370	2.5	89	6.48
780	320	3	92	6.667
770	560	3	112	8.25
740	520	4	107	9.05
680	485	3	100	6.5
				6
800	450	3.5	93	7.88
				
720	530	3.5	110	7.94
780	290	3		
760	465	4		8.2
780	435	4	99	9.28
740	410	4	102	6.6745
			106	7.062
740	400	4	98	8.75
770	310	3.5	88	6.68
600	340	3	82	8.05
800	460	3.5	103	6.7
730	450	2.5		6.2
720	490	4.5		
				
800	580			6.6
800	515	4	110	7.94
600	460	3	97	6.8
770	515	3.5	103	7.77
770	420			8
				7.1
780	395	3	95	
770	650	5		9.2
790	545	4.5	110	7.52
				
				
800	580	3.5		7.4
730	450	2.5		
705	330	2.5	95	6.66
				
	440		87	6.327
770	380			7
				
770	650	4.5	115	7.13
730	340	3	78	6.236
				
630	360	3.5		6.1
800	610	3	97	7.225
780	530	3	85	7.55
575	450		93	9.39
720	540	2.5	89	6.7
770	360	3	94	7.434
740	330	3		
730	280	3.5	85	7.3
				8.73
630	420	3	81	6.6
780	600	3		
			85	8.3
				
770	340	3.5	91	8.51
650	250	2		7.3
				
				7.12
720	330	3.5	94	
740	340	2.5	98	8.5
580	310	1.5		6.3
780	370	3.5		6
710	420	3	97	7.2
				
780	440	3	97	5.8
800	610	4.5	105	7
				
680	395	3	96	
				6.4
710	370	3	89	7.3
750	630	4	106	7.69
800	380	3.5	105	5.8
780	515	4.5	104	6.9
740	515	4	109	5.96
770	420	3	100	9.14
710	670	3.5	114	8.1
300	350		80	
800	545	4		8.75
800	610	3.5	104	8.4
770	395	3	96	5.156
				9.75
780	310	2.5	83	7
770	530	4.5	98	6.975
750	370	3	108	6.8
770	605	3.5	111	6.2
800	580	3.5	114	7.96
				
790	390	3	100	6.6
730	330	3.5	88	6.323
800	530	3	101	7.496
800	560	4.5	114	7.14
740	360			7.2
790	465	3	97	7.45
780	575	4	109	6.7
				
770	685	3	108	6.23
680	395	3	84	
790	590	3.5	108	
730	340	3	96	7.938
740	500	3.5	107	7.3
720	360	3	81	8
750	290	2.5	82	5.2
700	410	3	103	7.1
750	530	4	108	6.1
615	270	2.5		6.039
			104	9.25
800	330	3.5		7.9
780	490	3.5	102	8.57
770	660	4	118	6.52
760	470	2.5	80	
690	420	3	94	6.6
720	360	2	85	7.6
790	500	3	103	
360	590	2.5	83	7.1
				5.5
730	360	3	93	
			96	7.83
				
730	310	2.5	78	7.7
790	610	3.5	101	6.85
535	340	4.5	97	5.973
750	380	2	80	7.44
720	440	3	97	7.9
770	560	3.5	111	
800	690	4		7.2
				
770	435	4	96	6.94
690	310	3.5		7
705	395	3	92	6.1
800	660	4	111	8.25
540	320	3	87	
760	450	3.5		8
530	300	3	80	6.403
555	215	2	72	6.959
720	310	3.5		
750	710			
680	310	3	90	6.5
790	580	4		8.11
770	575	4	117	6.8
800	560	3.5	105	9.67
750	340	3	84	7.5
690	280	2.5		5.411
780	350	3.5	90	7.7
595	280	2.5	89	5.9
680	610	5	95	7.49
760	320	2	84	6.6
720	450	3.5	107	7.1
790	420	3.5	101	6.6
			93	7.12
				
			96	9.05
750	400	4	103	6.4
710	260			
770	370			8.6
				8.5
600	500	3.5	96	6.8
800	460	3	107	7.167
640	440	3	80	7
800	620	4	114	8
640	270	2	85	
644	500	3	97	6.4
780	360	3		7
			116	9.1
770	450	3.5	104	8.73
750	290		91	7
750	600	3	110	7.9
				
710	480	3.5		7.1
644	500	4	107	6.78
680	280	3.5		
				
680	370	3	83	6.8
770	485	3.5	109	6.72
780		3	101	7.35
				6.5
800	350	3	91	7.06
630	310	3	83	7.4
750	570	4	109	6.7
780	500	3.5	107	6.8
				
780	560	4.5	109	7.3
770	380	3	106	6.67
665	310			6.4
665	310			6.4
				
770	560	3	94	8.87
				
770	560	4	112	7.7
800	500			6.86
				9.95
800	650	4	105	9.5
				7
615	280	3		
615	420	3	80	6
575	320	3.5	80	
644	320	3.5	87	6
800	635	4	113	6.944
				
780	570	3.5		7.5
800	570	3	110	8.71
790	635	4	115	7
780	485	4	106	8.42
630	620	3.5	91	
800	620	3.5	101	7.27
				
800	490	4	114	7.45
720	435			7
760	580	4	111	
780	410	4	109	
600	350	3.5	83	5.6
790	410	4	101	9.32
800	605	5	110	8.4
730	630	4	112	8.6
				
800	590	4	106	8.8
760	435	4	99	7.9
660	540	4	100	6
680	420		87	7.5
800	465	2.5	99	6.54
790	435	3.5	94	8.2
			82	
720	395	4	98	6.2
				
				
				
310	750	3	95	
800	690	2.5	87	
690	320	3	90	6.7
720	520	3.5	90	
				7.9
750	410			8.21
800	570	3.5	108	8.3
680	570	3.5	106	6.5
750	465	3.5	95	7
770	500			7.5
				5.92
770	570	2.5	71	
770	500	3.5	106	6.9
740	410	3		8.4
740	410	3	88	
700	430	3	84	7.714
			56	
720	370	3	90	
780	480	3	100	8.29
700	320	2.5		5.6
770	590	3	104	6.8
800	465	3.5	100	7.119
				
				
				6.012
740	515	4	97	6.05
720	450	4	98	7.77
770	450	3	87	8.4
790	540	3.5	93	6.3
750	590	4.5		8.575
				
644	280	3	85	6.5
750	450		110	7
750	435		103	7.503
800	570	2	90	8.4
				
800	340	3	100	7.775
730	300	4		
				6.7
				6.4
730	550		112	6.05
770	450	3	102	9.12
800	465	3	88	6.3
760	630	3.5	104	6.4
705	450	5.5	106	7.2
720	420			6.88
780	515	3.5	104	7.35
800	435			8.53
690	370	2.5		
800	640	4.5	117	8.11
770	420	4	100	7.6
770	450		106	7.37
				
800	600			7
800	370	3	93	6.3
700	300	3	85	6.3
710	300	3	84	8
				
800	380	4	92	6.9
800	580	4.5	106	7.91
				
				
705	450	2.5		7
				
				8.024
770	500	3.5	100	6.044
770	400	3	102	7.5
770	530	3.5		7.8
730	490	3	103	
				6.5
750	410	3	96	7.49
800	530	4	111	7.83
740	440	3	105	8.2
800	485	3.5	110	8.89
630	280	2.5		
				6.583
				6.45
730	410	3	101	8.56
				7.04
800	530	4	110	
790	560	3.5	101	8
				
		3.5		6.6
770	575	4	114	8.525
760	380	3.5	101	7.9
760	300	2.5	99	8.1
780	380	3		9.32
800	605	4.5	106	8.8
770	380	3.5	100	8.3
800	530	3.5	113	8.15
780	515	4	111	5.6
720	395	4	105	
770	560	4	108	7.933
760	530	3.5		7.9
360	420	3	75	6.8
800	620	3.5	112	9.56
				8.34
740	740	4.5	116	8
600	300	3		6.76
800	470	3	89	8.08
770	485	3.5	95	7
780	570	3	103	6.018
800	485	3.5	105	8
750	310	3	95	
720	465	3	92	7.4
750	515	5	115	8.6
760	395	4	96	
740	590			8.2
720	310	3	89	
750	395	3.5	103	9.95
770	550	4		7.7
760	280	2.5		6.3
710	330	4	113	5.71
770	560	4	108	7.933
630	340	1	76	6.4
680	480	2.5		
750	300	3	81	6.97
590	790	4	108	8.9
770	665	4	114	7.46
780	420	3.5	105	9.28
750	450			7.4
				7.07
800	690	3.5	114	8.1
740	410	4	96	6.6
770	545	5	115	8.5
800	575	4	108	8.3
575	605		100	6.7
780	500	4.5	110	6.6
770	360	3		7.37
				
				
770	380	3.5	107	
				7.7
730	360	3.5	96	6.8
730	450	3.5	103	7.4
780	395	2.5	87	7.2
				6.7
		3	106	
740	380	4	102	7.5
				6.05
800	635	4	108	9.48
800	590	4	106	8.7
790	485	3.5	99	9.33
			88	
800	360	3.5	86	7
630	280		80	6.7
				
			113	7.51
740	590		106	7
790	560	3.5		7.5
790	500	4	113	6.9
575	280	3		
740	485	4	115	8.6
800	680		104	
750	410			7.228
780	560	3	111	6.7
800	570	3.5	112	
770	590	3.5	102	7.7
800	530	4	108	5.9
				7.93
				7
730	620	3.5	115	7.06
780	450	3.5	113	7.6
800	650		101	6.91
760	515	3	108	7.47
790	395	4		10
				7.8
720	560	3	94	9.18
				8.9
780	410	3	96	
720	360	3		7.23
				8.5
770	590	3.5	91	8.9
				6.3
750	620			
				
800	465	4.5	103	
790	450	3	106	7.8
800	515	4	110	8.98
		4.5		
				
				7.6
720	330	3.5	90	6.4
535	270	2.5		
750	380	3.5	96	7.2
760	340	3.5	90	7.83
				
680	460	3	89	7.01
800	620	4	119	8.81
			82	6.9
790	690	3.5	115	8.2
770	600	4	112	6.514
790	390	4	93	7.5
				
760	450	3	103	6.2
770	605	3.5	105	8.22
740	380	3		
800	590			8.43
				8.24
770	420	3	100	7.7
790	570	3	108	7.2
800	500	5	104	7
705	310	3		8.25
780	545	3.5	108	7.5
				
800	640	4	110	7
700	640	3	91	6.3
780	670	4.5	110	9.5
770	435	4	99	10
615	340	3.5	92	6.584
800	570			6.8
800	575		110	7.27
690	420	4	95	6.65
				8.12
800	605	4.5		6.6
780	545			7
790	320		99	
770	400	3	101	7.647
790	450	3	99	8.3
				
770	450	3	108	7.5
800	560	3.5		7.456
680	560	4	100	7.3
760	550	4.5	110	8.2
				7.41
790	410	3		8.4
	570	4	112	
800	590	4	109	7.33
665	330			7.5
				
760	390	2.5	104	6.4
680	310	3	86	8.6
790	590	3	93	7.839
800	580	4.5	112	8.06
790	500	3	105	
800	485	3.5		8.51
705	320	2.5		7
690	240	3	86	7.3
				
770	500	4	103	
				
790	605	4.5		7.8
780	280	3	85	7.5
770	420			8.55
				
690	310	3		6.7
	580	4	113	9.08
740	410	3.5	100	6.2
				6.67
				7.7
720	310	3	83	
				6.5
				
740	500	3	102	6.678
740	540	3	103	
780	420	3	104	7.79
				7.6
				
770	530	3		8
760	575	4	117	8.075
			71	6.9
				
710	450	4.5	107	5
			109	8.33
710	660		114	7.2
690	395	3	94	
				
760	410	3.5	94	
				
720	490	3.5	100	6.2
730	330	3	102	7.018
790	420	2	96	7.7
				7.6
308	420	3	97	6.4
760	440	3	107	6.867
				
		4	110	7.05
730	500	4	108	6.6
750	465	2.5	88	7.36
800	660			7.2
800	370	3		7.1
580	320	2	88	6.59
720	435	3.5	103	7.4
800	630	3.5	108	6.8
				
800	730	4	105	6.42
800	780	4.5	119	8.8
				7.88
				5.591
660	290	2.5		8.4
				
700	410	3	94	8.4
780	610	4	108	7
800	635	4		8.44
				5.544
720	485	3.5	112	7.34
292	280	3		7.6
760	605	4	115	
				
665	435	3.5	94	6.6
700	520	3	99	7.5
790	400	3.5	111	8.4
720	380	4		7.4
800	485	3	108	7.8
				
770	440	4	108	7
		3.5	100	7.5
		3.5	100	
800	360	2.5	84	6.89
790	670	3.5	114	8.8
800	635	3.5	113	7.4
770	380	3	91	6.3
800	710	3	100	
770	370	4	90	8.8
775	610	4.5		
770	450	3.5	104	7.7
770	500	4	106	7.344
800	745	5	117	9.6
				6.5
			109	
705	290	3	84	7.109
790	545	3.5	116	6.8
				
780	590			9.2
				7.52
770	600	4.5	110	7.35
770	360	3	92	7.175
800	500	3	100	8.4
770	310	3	90	7.2
790	370			6
800	650	4	111	6.7
			86	
800	660	4.5	112	6.5
770	465	3.5	102	6.82
				
770	420	3	106	7.51
				8.83
780	570	3	98	8.46
			92	8.33
710	540	3.5	101	8.6
750	485	3.5	115	8.5
720	360	3	91	
800	450	4	111	7.75
				
770	600	4		7
705	290	3	84	5.4
770	450	3.5		7.8
				
				
				7.2
800	620	3	99	8.7
740	500	3.5	90	6.5
760	215	3.5	100	7.8
800	650	4.5	115	7.598
615	380	3	87	
				7.9
730	380	3	98	
780	460	4.5	116	9.36
750	330	3.5	83	8.1
800	560	4	100	6.7
740	330	2.5		7.05
740	560	3.5	113	7
				7.45
790	420	3.5	104	7.5
680	635	3.5	102	6.7
740	420	3		7
800	590	4	109	7.71
770	515	4	109	9.21
800	635		113	7.2
720	590	3.5	100	8
760	530	3.5		6.893
680	450	4	107	
				
800	650	3		9.4
770	530	3	104	6.35
790	570	3	120	8.1
730	450	3.5	110	6.8
610	320	3.5	98	
644	450	3		6.88
740	470			5.8
				
720	470	2.5		
770	480	4.5	113	
				8
				8.25
780	640		116	8.026
770	340	3.5	87	7.92
				
710	340	3	91	7.6
				5.6
720	570	3	94	
780	545	3.5	104	6.772
720	310	2.5	80	7
800	660	3.5	103	7.6
790	575	4.5		6.4
800	590	3.5	107	6.34
800	560	3.5	108	9.91
780	550	4	114	8.47
800	640	4	108	
730	330	3	89	5.5
750	395	3.5	98	7.4
				6.6
790	420	3	100	
			57	8.26
770	280	2	85	
730	395	4	105	8.1
				
790	410	3	95	7.1
620	320	3	97	
780	610	4	108	7
770	545	4	97	8.25
770	470	3	99	7.4
800	545	3	104	7.2
770	530	3.5	100	6.9
	470	3	103	
730	370	3.5	104	8.14
				6.7
535	300	2.5		6.6
630	435	3.5	102	6.25
770	410	3.5	97	9.1
730	485	3.5	100	7.5
				8.047
				6.5
				
				
730	395	2.5	87	6.88
730	400	2		7.1
790	450	3	101	7.5
770	470	3	84	
790	360	2.5	89	8.25
760	420	3.5	95	8.85
800	435	4	104	7.7
				8.3
720	460	3.5	114	
750	395	3.5	85	7.2
770	500	3		6.8
720	360	2.5		
700	280	0.5		5
				
665	745	3.5	102	8.02
780	450	2.5	97	8.79
800	520	4	100	
790	500	4	102	7.5
770	485	3.5	101	7
				
790	450	3.5		9.35
				9.12
				6
				7.523
790	570	2.5	111	8.6
800	380	3.5	106	9.24
800	590	4	107	8.4
				7.8
				7.1
720	420	3.5	104	6.67
650	310	3		7.5
780	420		90	7.9
800	350	2.5	92	7.222
				6.7
665	280	3.5		6.5
730	370	3.5	97	7.5
780	570	3	90	7.4
750	500	4	107	5.8
				
780	660	4.5	109	5.7
740	410	3.5	86	6.5
760	310	2	85	
770	620	4	110	8
790	435	3.5	108	6.74
595	310	2.5	81	6.8
750	395	3.5	99	5.3
				
800	545	3	105	6.38
615	280	3		6.3
730	370	3.5	99	
800	510	4.5	103	
				
800	620	4	107	8.45
760	330	2.5		
800	510	4	105	6.7
730	450	3.5	96	7.6
770	370	2.5	94	7.049
700	380	3	107	6.6
			115	7.22
				
770	465	3	99	6.62
286	310	2.5	78	7
700	350	3		
790	530	3.5		8.78
790	360	3	84	
665	370	3		8.98
750	340	3.5	103	7.6
780	350	2.5	94	9.14
800	685	5.5	119	9.5
				
780	590			
730	380		95	
				
740	395	3.5	85	7.4
790	435	3	112	7.378
770	530	3	101	8.572
640	580	4	106	6.92
				
800	670	4	108	7.5
				7.79
				
750	330	3.5	83	8.1
				
800	670	4	114	5.9
770	530	4.5	110	8.8
740	530	3		8.8
385	575	3	89	7.96
705	485	4		
740	450	2.5		7.4
680	340	3.5	101	7.8
				
770	610	3.5	105	7.7
800	560	4	119	8.48
780	470	3.5	105	7.045
770	410	3	98	7.767
780	370	2	80	7.749
800	370	4	111	7.38
800	640	4	112	8.1
705	340			8.675
				
760	435	4	109	6.8
				
790	500			7.2
790	635	4.5	114	7.8
740	400	3	95	7.1
670	240	2		6.5
700	440	3.5	99	8.56
680	310	3.5	85	8.1
770	465	4	102	9.21
650	360	1.1		
760	590	4	114	8.5
770	530	4	114	6.35
				
740	600	3	105	8.1
				5.6
730	710	3	110	6
750	395	3.5	85	7.2
705	435			
750	430	3.5	96	6.4
790	545	3	110	7.61
800	560	3.5	113	9.87
575	300	1.5		9.25
790	370	3	101	8.88
800	605	4	108	7.81
				7.17
				
740	410	3.5	99	
800	515	4.5	112	9.15
800	490	4	110	7.92
780	605	4	119	8.47
465	545	2	85	
				
770	485	3	97	6.1
770	450	3	108	7.5
465	360	2	100	8
800	380		99	8.2
691	310	3.5	86	8.54
770	320	3	92	7.75
770	395			8.2
760	420	3.5	102	7.4
710	490	2.5	80	6.7
465	330	3.5	87	
				
770	530	4.5	110	8.625
800	330	3	93	6.7
800	395	4.5	111	8.59
740	360	3		6.515
760	435	3		7.546
800	690	4.5	114	9
630	380		93	
780	560	4	113	5.813
800	435	4		7.4
800	610	3	104	6.75
750	330	3	99	6.7
770	450	3.5		7.4
800	570	4	105	9.05
730	270	3	86	7.14
760	330	2.5	85	
750	650	4	110	7.2
				
800	343	2	88	7
630	340	3	82	7.9
800	500	3.5	90	7.7
				
800	560	4.5	116	6.4
780	545			7.02
				
510	590	3.5	83	7.6
600	600		90	6.5
790	435	3	102	8.43
800	450	3.5	108	8.25
				7.3
				6.5
710	310	2		6.6
740	390	3.5	98	7.25
				
740	640	4	114	
730	380	3	92	8.69
				
720	380	3		
730	395	4	102	6.6
705	360	3.5	105	7.5
720	540			7.5
				
790	450	4	94	7.77
760	605	4	109	7.74
730	490	3		7.73
800	610	4.5		
				
680	280	2.5	85	
800	575	4	110	8.35
790	330			
800	410	3	99	7.5
				6.5
690	410		100	
770	435	4	107	8.6
465	410	3		
690	410	2.5	79	7.4
780	530	4	117	7.2
				
				
				
				
740	330	3.5		7.256
385	465	3.5		6.8
770	725	3.5	109	
				
				
				
				
780	520	3.5		10
750	450	3.5	93	8.2
800	515	4.5	111	9.2
800	440	3.5	112	5.9
720	420	3	102	8.37
