Q	V	A	T	G
800	420	4	104	8.73
740	360	3	85	7.013
760	550	3	94	7
740	450	3.5	107	5.976
760	630	3.5	111	6.7
800	500	4	112	8.85
690	710	3	108	8.6
770	480	3	102	6.7
740	440			7.3
800	620	3	101	7.7
800	370	3.5	110	9.17
730	395	3	99	8.03
				
800	580	4.5	112	8.75
				
690	530	2.5		8.2
790	590	3	107	8.2
				
760	620	2.5		6.8
740	420	3	94	6.1
770	540			7.494
800	500	3	98	8.67
770	435		93	8.2
790	380		98	8.45
790	410	3.5		8.529
790	530	4.5	114	8.248
760	640	4	110	5.3
790	500	3.5	111	7.7
800	550	4.5	109	9.07
670	350			7.8
700	430	3.5		7.3
800	560	3		8.85
760	580	3.5	105	7.4
800	650	4	111	7.6
630	460	3.5	106	5.92
800	590	4		6.5
800	590	3		8.23
770	650	4.5	115	8.52
680	280	3	86	8
				
				
670	270	2	100	
720	590	4	101	
800	370	3	100	6.8
770	530	3.5	100	
630	650	3.5	102	7.8
660	460	3	107	7.7
790	410	3.5	97	9
690	250	2	100	
800	620	4		9.11
800	350	3	99	
730	465	4	104	7.1
730	380	2.5	100	6.7
800	620	4	108	7.95
680	390			7.5
800	550	2.5	106	8.25
740	440	3.5		
720	570	4	99	7.668
800	480	2.5	81	7.8
710	570	4.5		5.6
				
	330	3	95	10
790	515	3	113	9.12
790	520	4	112	
				
770	630	3.5	100	8.63
700	530		106	
770	360	3	83	6.991
780	410			8.78
750	300			6.84
740	270	3	88	
800	460	3.5	101	8
760	390	3.5	86	7.6
750	435	3.5	100	8.5
800	610	3		7.511
750	450	3.5	90	6.7
800	580	3.5	101	8.23
790	560	3	104	8.26
740	540	3		8.47
730	440	4	105	7.57
				7.3
750	610	3.5	109	8.8
780	440	3	104	9.72
740	320	3	85	7.34
				8.02
800	390	3.5	90	6.9
800	740	4	115	7.24
770	540	4	110	
750	530	4.5	110	8.2
790	440	3	101	8.25
750	310	2.5	65	6
720	380	3	86	8.45
800	600	4	106	8.6
760	600	3	103	8
750	470		103	8
780	540			7.2
660	380	2.5	96	
750	440	4	102	7.68
800	630	3.5	106	7
550	400	3.5	85	
800	560	4		7.1
800	590	4.5		6.3
780	660	3.5	107	8.1
800	530	4	104	6.4
700	300			
670	310	3	80	
				7.8
				8.34
780	490			6.1
800	580	3	90	7
800	550	3		6.8
700	330	3	93	6
780	440			6.5
800	590	3	111	7.512
250	780			
720	420	3.5	98	6.753
790	420	3		7.98
740	530	3	108	7.236
700	560	3	96	6.5
790	490	3.5	97	7.35
760	550	3	110	7.85
790	660	3.5	114	8.2
790	430	4		6.3
660	460		108	
730	310	3	88	
690	470		92	
770	550			8
590	300			
800	460	4		6.786
770	640	3.5		7.9
750	410	3.5	102	6.25
710	320	3	90	5
770	590	4	113	
790	610	3.5	110	8.8
740	410	3	83	6.289
760	640	3.5	103	9.25
770	530	4		8.1
800	600	4	109	8.13
790	640	3.5	108	9.1
740	510	3	99	8.2
710	270	2.5	98	
750	600	3.7		5.8
800	560	4	105	9
790	630	3.5	104	8.47
				
790	390	3		6.52
700	330	3	86	
790	575	4	116	8
740	410		95	9.12
				7
750	450			7.03
800	470	4	108	8.91
720	350	3		6.6
700	300	2.5	101	7.2
770	650	3.5	113	8.4
				
750	400	2.5	93	7.5
705	420	3.5	92	5
780	580	3.5	109	8.6
700	640	3.5	105	7.5
750	460	3	100	6.547
690	550	3		7.7
720	320	3	85	
790	510			6.3
690	460	3	106	7
630	370	2.5	89	
				
