University of Southern California;|
Clemson University;Purdue University;Rutgers University;Texas A&M University College Station;|Clemson University;Purdue University;Rutgers University;Texas A&M University College Station;
University of Massachusetts Amherst;|
California State University Northridge;Cleveland State University;University of Southern California;University of Texas Arlington;|California State University Northridge;Cleveland State University;
Arizona State University;Ohio State University Columbus;Ohio State University Lima;Ohio State University Mansfield;Ohio State University Marion;|
|
|
|
Arizona State University;Georgia Institute of Technology;Portland State University;Rensselaer Polytechnic Institute;San Diego State University;Texas A&M University College Station;University of California Berkeley;University of California Los Angeles;|
Illinois Institute of Technology;|
University of Missouri Kansas City;University of North Carolina Charlotte;Wichita State University;Michigan Technological University;|Michigan Technological University;
Texas A&M University College Station;University of California Los Angeles;University of Florida;University of Texas Austin;|
Bethany College;Bethesda Christian University;Biola University;California Baptist University;|
|
|
Arizona State University Polytechnic Campus;Florida State University;North Carolina State University;Oregon State University;University of Maryland College Park;University of Texas Dallas;|
|
|
California Institute of Technology;Georgia Institute of Technology;Stanford University;University of Southern California;|
|
North Carolina State University;University of California Irvine;University of California San Diego;University of California Santa Barbara;Virginia Polytechnic Institute and State University;|
Arizona State University;|
|
|
University of Illinois Chicago;University of North Carolina Charlotte;University of Texas Arlington;|
Arizona State University;Texas A&M University College Station;University of Minnesota Twin Cities;University of Pennsylvania;|
Arizona State University;Texas Tech University;University of Texas Dallas;|
|
|
University of Illinois Chicago;|University of Illinois Chicago;
|
Texas A&M University Kingsville;University of Houston Clear Lake;University of North Texas;University of Texas Health Science Center at San Antonio;|
|
|
Atlanta Christian College;Atlanta College of Art;|
|
Arizona State University;Illinois Institute of Technology;Miami University of Ohio;Texas Tech University;University of Cincinnati;University of Minnesota Twin Cities;University of South Carolina;|
|
|
|
|
|
Arizona State University;California State University Los Angeles;Georgia Institute of Technology;SUNY Buffalo;|
Carnegie Mellon University;Interview with Prof on 29th January particularly asked about my interest to work on a particular project.PhD ;Rice University;University of Maryland College Park;University of Michigan Ann Arbor;Georgia Institute of Technology;Princeton University;University of California Berkeley;|Carnegie Mellon University;Interview with Prof on 29th January particularly asked about my interest to work on a particular project.PhD ;Rice University;University of Maryland College Park;University of Michigan Ann Arbor;
|
|
|
|
Georgia Institute of Technology;Illinois Institute of Technology;San Diego State University;San Jose State University;Southern Illinois University Carbondale;|
|
Arizona State University;California State University Los Angeles;Georgia Institute of Technology;Texas A&M University College Station;University of Florida;University of Texas Austin;|
Arizona State University;Texas Tech University;Illinois Institute of Technology;Northern Illinois University;University of Colorado Denver;|Illinois Institute of Technology;Northern Illinois University;University of Colorado Denver;
Arizona State University;Iowa State University;North Carolina State University;University of Southern California;|
|
|
Arizona State University;Auburn University;Michigan State University;New Jersey Institute of Technology;Texas A&M University Kingsville;|
University of Michigan Ann Arbor;|
|
University of Texas Dallas;|
|
Murray State University;|
|
|
|
|
|
Arizona State University;Georgia Institute of Technology;University of California Irvine;University of Southern California;|
|
Arizona State University;|
|
Berkeley College;California Institute of Integral Studies;Colorado State University;New Jersey Institute of Technology;Princeton University;|
Clemson University;Rutgers University;University of Florida;University of Minnesota Twin Cities;University of Texas Dallas;Arizona State University;Texas A&M University College Station;|Clemson University;Rutgers University;University of Florida;University of Minnesota Twin Cities;University of Texas Dallas;
Harvard University;University of Massachusetts Amherst;University of Massachusetts Boston;University of Massachusetts Dartmouth;University of Massachusetts Lowell;|
Texas A&M University College Station;University of California Berkeley;University of California Davis;University of California Los Angeles;University of California Santa Barbara;University of Southern California;University of Texas Austin;University of Minnesota Twin Cities;Stanford University;|University of Minnesota Twin Cities;
Arizona State University;Clemson University;University of Colorado Boulder;University of Maryland College Park;|
|
|
Carnegie Mellon University;Georgia Institute of Technology;University of California Berkeley;University of California Los Angeles;University of Michigan Ann Arbor;University of Texas Austin;University of Wisconsin Madison;Arizona State University;;Ohio State University Columbus;University of Minnesota Twin Cities;University of Southern California;Purdue University;Applied on 15th October. ;|Arizona State University;;Ohio State University Columbus;University of Minnesota Twin Cities;University of Southern California;
|
California State University Fullerton;Southern Illinois University Carbondale;Texas A&M University Kingsville;University of South Alabama;Wichita State University;|
Arizona State University;Georgia Institute of Technology;University of Colorado Boulder;University of Illinois Urbana-Champaign;University of Maryland College Park;|
Arizona State University;Arizona State University West;California Institute of Technology;San Diego State University;San Francisco State University;University of Arizona;|
North Carolina State University;Purdue University;Texas A&M University College Station;University of California San Diego;University of Colorado Boulder;University of Florida;University of Maryland College Park;University of Michigan Ann Arbor;University of Southern California;University of Texas Dallas;University of California Irvine;University of California Santa Barbara;Got a ;|
University of California Davis;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California San Francisco;University of California Santa Barbara;University of California Santa Cruz;|
|
|
Boston University;California Institute of Technology;Harvard University;Massachusetts Institute of Technology;Wentworth Institute of Technology;|
|
Arizona State University;Carnegie Mellon University;Columbia University;Rochester Institute of Technology;Rutgers University New Brunswick/Piscataway;Texas A&M University College Station;University of California Santa Barbara;University of Colorado Boulder;University of Florida;University of Maryland College Park;University of Michigan Ann Arbor;|
University of Texas Arlington;University of Texas Dallas;|
University of Minnesota Twin Cities;|University of Minnesota Twin Cities;
|
|
University of California Berkeley;University of Texas Austin;Carnegie Mellon University;Purdue University;University of California Los Angeles;Georgia Institute of Technology;University of Illinois Urbana-Champaign;|Carnegie Mellon University;Purdue University;University of California Los Angeles;
|
Arizona State University;Kansas State University;Pennsylvania State University;Rutgers University New Brunswick/Piscataway;Texas A&M University College Station;University of Southern California;University of Washington;|
Arizona State University;Georgia Institute of Technology;Ohio State University Columbus;Rutgers University;University of California Los Angeles;University of California Santa Barbara;University of Illinois Urbana-Champaign;University of Pennsylvania;University of Southern California;University of Texas Austin;University of Texas Dallas;|
Carnegie Mellon University;Texas A&M University College Station;University of Pennsylvania;First ;University of Wisconsin Madison;On 26th march.. 2nd ;Georgia Institute of Technology;Purdue University;University of Michigan Ann Arbor;|University of Pennsylvania;First ;University of Wisconsin Madison;On 26th march.. 2nd ;
New York Institute of Technology;Stevens Institute of Technology;University of Massachusetts Dartmouth;San Jose State University;|New York Institute of Technology;Stevens Institute of Technology;University of Massachusetts Dartmouth;
University of California Los Angeles;University of California San Diego;University of Colorado Boulder;University of Maryland College Park;|
|
Arizona State University;Northwestern University;Ohio State University Columbus;Rutgers University;Texas A&M University College Station;University of California Irvine;University of California Santa Barbara;University of San Diego;University of Wisconsin Madison;|
Florida State University;Illinois Institute of Technology;|
University of California Los Angeles;University of California Santa Barbara;Carnegie Mellon University;;Georgia Institute of Technology;;North Carolina State University;Columbia University;Massachusetts Institute of Technology;Pennsylvania State University University Park (main campus);University of Illinois Urbana-Champaign;|Carnegie Mellon University;;Georgia Institute of Technology;;North Carolina State University;
|
Illinois Institute of Technology;University of North Carolina Charlotte;University of Utah;3rd ;North Carolina State University;University of Delaware;University of Minnesota Twin Cities;|Illinois Institute of Technology;University of North Carolina Charlotte;University of Utah;3rd ;
Oklahoma State University Stillwater;|
|
Carnegie Mellon University;Cornell University;North Carolina State University;Northwestern University;Purdue University;Stanford University;University of California Berkeley;University of California San Diego;University of Michigan Ann Arbor;University of Minnesota Twin Cities;University of Wisconsin Madison;|
Arizona State University Polytechnic Campus;Arizona State University West;California Institute of Technology;California State University Bakersfield;California State University Long Beach;California State University Los Angeles;California State University Northridge;California University of Pennsylvania;Carnegie Mellon University;Chicago State University;City University of New York Brooklyn College;City University of New York City College;City University of New York New York City College of Technology;Cleveland State University;Cornell University;George Mason University;George Washington University-Virginia Campus;Georgia College & State University;Georgia Institute of Technology;Georgia State University;Illinois Institute of Technology;Illinois State University;Iowa State University;Johns Hopkins University;Kansas State University;Mansfield University of Pennsylvania;Michigan State University;Michigan Technological University;New York Institute of Technology;North Carolina A&T State University;North Carolina State University;Oakland University;Ohio State University Mansfield;Ottawa University;Pennsylvania State University;Pennsylvania State University Berks;Pennsylvania State University Fayette;Pennsylvania State University Great Valley;Pennsylvania State University University Park (main campus);Pennsylvania State University York;Queens University of Charlotte;Rochester College;San Diego State University;San Jose State University;St. John's University;SUNY College at Buffalo (Buffalo State College);Temple University;Texas A&M University Kingsville;Texas A&M University Prairie View A&M University;Texas A&M University Texas A&M International University (Laredo);University of Arizona;University of California Irvine;University of California Los Angeles;University of California Riverside;University of California San Diego;University of California San Francisco;University of California Santa Barbara;University of California Santa Cruz;University of Cincinnati;University of Connecticut;University of Houston Clear Lake;University of Houston main campus;University of Illinois Chicago;University of Illinois Urbana-Champaign;University of Iowa;University of Kansas;University of Maryland Baltimore;University of Maryland Baltimore County;University of Maryland College Park;University of Maryland University College;University of Michigan Ann Arbor;University of Michigan Dearborn;University of Michigan Flint;University of North Carolina Chapel Hill;University of North Carolina Charlotte;University of Pennsylvania;University of Phoenix;University of Rochester;University of Southern California;University of Texas Arlington;University of Texas Austin;University of Texas San Antonio;University of Utah;Utah State University;Utah Valley State College;Virginia State University;Washington College;Yale University;|
|
Georgia Institute of Technology;Rice University;|
|
City University of New York New York City College of Technology;Long Island University Westchester Campus;|
University of California Irvine;University of Florida;San Diego State University;University of North Carolina Charlotte;University of Texas Dallas;University of Utah;Arizona State University;Clemson University;North Carolina State University;|San Diego State University;University of North Carolina Charlotte;University of Texas Dallas;University of Utah;
|
|
Portland State University;University of Cincinnati;;University of Texas Dallas;Arizona State University;University of Massachusetts Amherst;|Portland State University;University of Cincinnati;;University of Texas Dallas;
|
|
Texas A&M University Kingsville;University of Dayton;University of Houston Clear Lake;University of Louisiana Lafayette;University of North Texas;University of Texas Arlington;University of Texas Brownsville;University of Texas El Paso;University of Toledo;Western Michigan University;|
|
Florida International University;George Washington University-Virginia Campus;Indiana University/Purdue University at Indianapolis;University of Virginia;Virginia Commonwealth University;|
Illinois Institute of Technology;Stevens Institute of Technology;University of Arizona;University of South Florida;|
|
|
California State University Chico;California State University Sacramento;Illinois Institute of Technology;San Diego State University;San Jose State University;University of California Riverside;University of Southern California;|
Southern Illinois University Carbondale;|
University of California Berkeley;University of Michigan Ann Arbor;University of Texas Austin;|University of Texas Austin;
Arizona State University;Cornell University;North Carolina State University;Purdue University;SUNY Stony Brook;Texas A&M University College Station;University of Massachusetts Amherst;University of Minnesota Twin Cities;University of Southern California;University of Texas Dallas;|
California State University Fullerton;Fairfield University;Gannon University;Pittsburg State University;University of New Haven;|California State University Fullerton;Fairfield University;Gannon University;Pittsburg State University;University of New Haven;
Georgia Institute of Technology;University of California Los Angeles;University of California Santa Barbara;University of Illinois Chicago;University of Illinois Urbana-Champaign;University of Southern California;|
California Institute of Technology;Georgia Institute of Technology;Harvard University;Massachusetts Institute of Technology;San Diego State University;San Francisco State University;Stanford University;|
|
|
Arizona State University;Florida State University;North Carolina State University;SUNY Stony Brook;University of Houston main campus;University of Illinois Chicago;University of Massachusetts Amherst;University of Texas Dallas;|
|
|
|
|
University of California Santa Barbara;University of Southern California;Georgia Institute of Technology;Purdue University;University of California Berkeley;University of California Los Angeles;University of California San Diego;University of Illinois Urbana-Champaign;University of Pennsylvania;University of Texas Austin;|
New York Institute of Technology;|
|
|
|
Arizona State University;Georgia Institute of Technology;North Carolina State University;Ohio State University Columbus;Texas A&M University College Station;University of Arizona;University of California Irvine;University of California Santa Barbara;University of Colorado Boulder;University of Dallas;University of Massachusetts Amherst;University of Minnesota Twin Cities;University of Southern California;Virginia Polytechnic Institute and State University;|
North Carolina State University;University of Massachusetts Amherst;University of Minnesota Twin Cities;University of Texas Arlington;University of Texas Austin;Arizona State University;University of Texas Dallas;|Arizona State University;University of Texas Dallas;
|
|
Johns Hopkins University;|
|
Northeastern University;Southern Illinois University Carbondale;University of Maryland Baltimore County;University of Pittsburgh Johnstown;University of Texas Dallas;Rochester Institute of Technology;SUNY Binghamton;University of Illinois Chicago;Vanderbilt University;|Rochester Institute of Technology;
"Antioch University-Los Angeles;California Baptist University;California Institute of Technology;California Pacific University;California Polytechnic State University| San Luis Obispo;California State Polytechnic University| Pomona;California State University Los Angeles;California State University Sacramento;Claremont Graduate University;San Jose State University;Santa Clara University;University of California Berkeley;University of California Davis;University of California San Diego;University of California San Francisco;University of California Santa Barbara;University of Northern California;University of Southern California;University of West Los Angeles;Vanguard University of Southern California;"|
University of Denver;|
Carnegie Mellon University;Johns Hopkins University;University of Southern California;Stanford University;University of California Los Angeles;University of Rhode Island;University of Washington;|Stanford University;University of California Los Angeles;University of Rhode Island;
|
Georgia Institute of Technology;University of California Berkeley;University of California Los Angeles;University of California Santa Barbara;|
|
University of California Los Angeles;University of California San Diego;|
University of Massachusetts Amherst;|University of Massachusetts Amherst;
|
Lamar University;|
|
|
|
|
|
|
California State University Northridge;Cleveland State University;Gannon University;Illinois Institute of Technology;Murray State University;New Jersey Institute of Technology;Texas A&M University Commerce;Texas A&M University Kingsville;University of Houston Clear Lake;University of Illinois Springfield;University of New Haven;University of North Carolina Charlotte;University of Texas Arlington;Wright State University;|
California State University Los Angeles;California State University Sacramento;San Diego State University;San Jose State University;Texas A&M University Texas A&M International University (Laredo);Texas State University;Texas Tech University;University of Dallas;University of North Texas;University of Texas Arlington;University of Texas Austin;University of Texas Dallas;|
|
California Institute of Technology;DeVry University-Long Beach;DeVry University-Pomona;San Jose State University;Stanford University;University of California Los Angeles;University of California Riverside;University of California San Diego;University of California San Francisco;University of Northern California;University of San Diego;University of San Francisco;University of Southern California;|
Rochester Institute of Technology;University of Massachusetts Amherst;Arizona State University;Texas Tech University;|Rochester Institute of Technology;University of Massachusetts Amherst;
Southern Illinois University Carbondale;Southern Illinois University Edwardsville;Texas A&M University Kingsville;Texas Tech University;|
|
|
Arizona State University West;Rutgers University;University of Illinois Chicago;University of Massachusetts Amherst;University of Texas Dallas;|
|
|
University of California Berkeley;University of California Los Angeles;University of California San Diego;University of California San Francisco;|
|
|
|
|
Boston University;Massachusetts Institute of Technology;University of Massachusetts Amherst;|
|
|
|
|
California Institute of Technology;University of California Berkeley;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;|
Texas A&M University College Station;|
|
|
Northern Illinois University;Polytechnic University of New York;University of Cincinnati;University of Texas Arlington;University of Texas Dallas;Illinois Institute of Technology;|
|
George Mason University;Old Dominion University;University of Texas Austin;|
Arizona State University;Iowa State University;University of Colorado Boulder;University of Florida;University of Illinois Chicago;|
|
|
|
|
|
Louisiana State University Baton Rouge;University of Delaware;University of North Carolina Charlotte;University of Texas Arlington;Clemson University;Damn ..... First ;Iowa State University;Michigan State University;|University of North Carolina Charlotte;University of Texas Arlington;
|
|
|
|
|
|
|
|
|
Cleveland State University;Wright State University;|
University of Arizona;University of Southern California;Purdue University;|University of Arizona;University of Southern California;
North Carolina State University;Pennsylvania State University University Park (main campus);University of California Santa Barbara;University of Texas Dallas;Virginia Polytechnic Institute and State University;|
Carnegie Mellon University;Georgia Institute of Technology;Johns Hopkins University;Massachusetts Institute of Technology;Rice University;Rutgers University;Stanford University;Texas A&M University College Station;University of California Los Angeles;University of Illinois Urbana-Champaign;University of Maryland College Park;University of Pennsylvania;University of Southern California;University of Texas Arlington;University of Texas Austin;University of Wisconsin Madison;|
|
University of Texas Dallas;|University of Texas Dallas;
University of Wisconsin Madison;Stanford University;University of California Los Angeles;University of Illinois Urbana-Champaign;University of Texas Austin;|University of Wisconsin Madison;
|
|
Illinois Institute of Technology;Northeastern University;Southern Illinois University Carbondale;University of Missouri Rolla;University of Texas Arlington;University of Texas Dallas;|
Houston Baptist University;Texas A&M University Kingsville;|
North Carolina State University;|North Carolina State University;
University of Alabama Huntsville;University of Arizona;Georgia Institute of Technology;University of California San Diego;University of California Santa Barbara;University of Central Florida;University of Colorado Boulder;University of Maryland College Park;University of Michigan Ann Arbor;University of North Carolina Charlotte;University of Rochester;|University of Alabama Huntsville;University of Arizona;
|
California Institute of Technology;Georgia Institute of Technology;University of California Berkeley;University of California Los Angeles;University of Southern California;|
|
University of Dayton;Arizona State University;University of Akron;University of Arizona;|Arizona State University;University of Akron;University of Arizona;
Arizona State University;California Institute of Technology;Columbus State University;Georgia Institute of Technology;Georgia State University;University of Florida;Yale University;|
|
Arizona State University;Carnegie Mellon University;Georgia Institute of Technology;Purdue University;University of California Berkeley;University of California Irvine;University of California San Diego;University of California Santa Barbara;University of Southern California;University of Wisconsin Madison;Virginia Polytechnic Institute and State University;|
Texas A&M University College Station;University of Texas Arlington;|
|
Arizona State University;North Carolina State University;Texas A&M University College Station;University of California Riverside;University of Cincinnati;University of Florida;University of Massachusetts Amherst;University of Texas Arlington;University of Texas Dallas;|
|
|
University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Colorado Boulder;University of Southern California;|
Arizona State University;University of Florida;University of Maryland College Park;Polytechnic University of New York;University of Colorado Boulder;University of Texas Dallas;My 1st ;|Polytechnic University of New York;University of Colorado Boulder;
|
|
"Polytechnic University of New York;;University of Massachusetts Amherst;My first ;University of Michigan Ann Arbor;Applied for PhD|Mail stating consider admission for MS-EE on 3 April|Recommended on 15 April. ;University of Southern California;;North Carolina State University;University of California Berkeley;Applied for PhD. Dream Univ ;University of Colorado Boulder;"|"Polytechnic University of New York;;University of Massachusetts Amherst;My first ;University of Michigan Ann Arbor;Applied for PhD|Mail stating consider admission for MS-EE on 3 April|Recommended on 15 April. ;University of Southern California;;"
California Institute of Technology;Carnegie Mellon University;Massachusetts Institute of Technology;Princeton University;Stanford University;University of California Berkeley;University of Illinois Urbana-Champaign;University of Southern California;|
Drexel University;SUNY Stony Brook;Syracuse University;University of Texas Dallas;|Drexel University;
Fairleigh Dickinson University;Long Island University C.W. Post Campus;New York Institute of Technology;Stevens Institute of Technology;|
|
|
|
University of Tennessee Knoxville;University of Arizona;University of Central Florida;Arizona State University;Pennsylvania State University University Park (main campus);University of Texas Austin;|University of Arizona;University of Central Florida;
North Carolina State University;University of California Irvine;University of California San Diego;University of California Santa Barbara;University of Colorado Boulder;University of Pennsylvania;|
|
|
California Institute of Technology;Carnegie Mellon University;Massachusetts Institute of Technology;Purdue University;University of California Berkeley;|
|
University of Southern California;Portland State University;San Jose State University;University of California Irvine;Arizona State University;North Carolina State University;University of Colorado Boulder;University of Minnesota Twin Cities;University of Texas Dallas;|Portland State University;San Jose State University;University of California Irvine;
Columbia University;Cornell University;Polytechnic University of New York;Rochester Institute of Technology;SUNY Albany;SUNY Buffalo;SUNY Stony Brook;Syracuse University;|
|
San Francisco State University;San Jose State University;Santa Clara University;University of California Santa Barbara;University of California Santa Cruz;University of Southern California;|
Ohio State University Columbus;University of California Santa Barbara;Polytechnic University of New York;University of Colorado Boulder;University of Illinois Chicago;University of Southern California;Arizona State University;Carnegie Mellon University;Clemson University;Georgia Institute of Technology;North Carolina State University;University of Pennsylvania;|Polytechnic University of New York;University of Colorado Boulder;University of Illinois Chicago;University of Southern California;
|
|
|
Illinois Institute of Technology;University of California Riverside;San Diego State University;San Jose State University;University of Texas Dallas;|San Diego State University;San Jose State University;University of Texas Dallas;
Carnegie Mellon University;New York University;|
|
|
Pennsylvania State University;University of Florida;University of Wisconsin Madison;|
|
|
|
University of Colorado Boulder;Arizona State University;North Carolina State University;University of Texas Dallas;|University of Colorado Boulder;
Arizona State University;University of Wisconsin Madison;Georgia Institute of Technology;Purdue University;University of California San Diego;|Arizona State University;University of Wisconsin Madison;
Southern Methodist University;San Jose State University;University of Illinois Chicago;North Carolina State University;University of Colorado Boulder;University of Texas Dallas;|San Jose State University;University of Illinois Chicago;
California State University Los Angeles;University of California Los Angeles;University of California San Diego;University of Southern California;|
Arizona State University;Clemson University;Illinois Institute of Technology;Ohio State University Columbus;SUNY Buffalo;University of Illinois Chicago;University of North Carolina Charlotte;University of Texas Dallas;|
California Pacific University;|
California Institute of Technology;|
Arizona State University;North Carolina State University;University of New Mexico;University of Texas Dallas;|
|
Colorado State University;Michigan State University;Ohio State University Columbus;Oregon Institute of Technology;Oregon State University;Pennsylvania State University;Purdue University;Texas A&M University College Station;University of Central Florida;University of Dayton;University of Delaware;University of Maryland College Park;University of Massachusetts Amherst;University of Pittsburgh Bradford;University of Wisconsin Madison;|
|
Georgia Institute of Technology;North Carolina State University;Northeastern University;Rutgers University;University of Colorado Boulder;University of Maryland Baltimore;University of Pennsylvania;University of Texas Austin;|
|
Northern Illinois University;University of Louisiana Lafayette;University of Texas Dallas;Arizona State University;University of Missouri Kansas City;|Arizona State University;University of Missouri Kansas City;
|
Clemson University;Georgia Institute of Technology;North Carolina State University;Purdue University;Rutgers University;University of California Irvine;University of Florida;University of Maryland College Park;University of Pennsylvania;University of Southern California;University of Wisconsin Madison;Virginia Polytechnic Institute and State University;|
|
|
|
|
Arizona State University;2nd ;University of Minnesota Twin Cities;University of Texas Dallas;Texas A&M University College Station;University of Florida;|Arizona State University;2nd ;University of Minnesota Twin Cities;University of Texas Dallas;
|
Carnegie Mellon University;Georgia Institute of Technology;University of California Los Angeles;University of California Santa Barbara;University of Colorado Boulder;Cornell University;North Carolina State University;University of Pennsylvania;University of Southern California;University of Maryland College Park;|Cornell University;North Carolina State University;University of Pennsylvania;University of Southern California;
University of California Berkeley;University of California Los Angeles;University of California San Diego;University of Southern California;|
Indiana State University;|
|
Arizona State University;|Arizona State University;
|
University of California San Diego;|
Illinois Institute of Technology;Utah State University;|
California Institute of Technology;Stanford University;University of California Berkeley;University of California Los Angeles;University of California San Diego;University of Illinois Urbana-Champaign;University of Wisconsin Madison;|
California Institute of Technology;University of Southern California;|
Columbia University;North Carolina State University;Purdue University;University of Florida;University of Wisconsin Madison;|Columbia University;North Carolina State University;Purdue University;University of Florida;University of Wisconsin Madison;
Massachusetts Institute of Technology;|
Arizona State University;University of Florida;University of Maryland College Park;Virginia Polytechnic Institute and State University;|Arizona State University;University of Florida;University of Maryland College Park;
Columbia University;|
Virginia Polytechnic Institute and State University;North Carolina State University;Pennsylvania State University;Purdue University;Texas A&M University College Station;University of Florida;University of Maryland College Park;University of Massachusetts Amherst;|North Carolina State University;
|
University of Massachusetts Amherst;University of Texas Arlington;Utah State University;|
|
Texas A&M University College Station;University of Texas Dallas;|
Arizona State University Polytechnic Campus;Northeastern University;University of California San Diego;University of Colorado Boulder;University of Maryland College Park;University of Southern California;Arizona State University;|
|
Georgia Institute of Technology;North Carolina State University;Purdue University;Rutgers University;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Southern California;Virginia Polytechnic Institute and State University;|
|
Clemson University;University of North Carolina Charlotte;University of South Carolina Lancaster;University of Texas Dallas;|
|
Arizona State University;Texas A&M University College Station;|
Dartmouth College;Johns Hopkins University;|
|
Oklahoma State University Stillwater;University of Southern California;|
|
Carnegie Mellon University;Georgia Institute of Technology;University of California Berkeley;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of San Diego;University of Southern California;|
Texas A&M University College Station;Auburn University;University of Utah;Arizona State University;North Carolina State University;University of Colorado Boulder;University of Florida;University of Massachusetts Amherst;|Auburn University;University of Utah;
Colorado State University;Illinois Institute of Technology;Oklahoma State University Stillwater;Texas A&M University College Station;University of Texas Arlington;|
|
|
|
|
University of California Los Angeles;University of Cincinnati;Arizona State University;University of Minnesota Twin Cities;North Carolina State University;University of Illinois Urbana-Champaign;|Arizona State University;University of Minnesota Twin Cities;
University of Cincinnati;Georgia Institute of Technology;North Carolina State University;University of Florida;University of Minnesota Twin Cities;University of Texas Austin;|University of Cincinnati;
|
|
SUNY Buffalo;University of Houston main campus;|
SUNY Buffalo;SUNY Stony Brook;Texas A&M University Kingsville;University of Southern California;University of Texas Arlington;University of Texas Austin;|
|
Georgia Institute of Technology;North Carolina State University;University of Colorado Boulder;University of Florida;University of Maryland College Park;University of Texas Austin;University of Texas Dallas;|
Georgia State University;|
Arizona State University;Polytechnic University of New York;Rensselaer Polytechnic Institute;Rochester Institute of Technology;Texas A&M University College Station;University of Florida;|
Colorado State University;University of Colorado Boulder;|
|
|
|
University of Wisconsin Madison;|
Pennsylvania State University;University of California Santa Barbara;Arizona State University;|University of California Santa Barbara;
Michigan State University;SUNY College at Buffalo (Buffalo State College);University of Houston main campus;University of Illinois Chicago;University of Minnesota Twin Cities;|
Colorado State University;Washington State University;Northeastern University;Rochester Institute of Technology;University of Central Florida;University of Maryland College Park;;University of Delaware;|Northeastern University;Rochester Institute of Technology;University of Central Florida;University of Maryland College Park;;
California Institute of Technology;Carnegie Mellon University;Georgia Institute of Technology;Harvard University;Massachusetts Institute of Technology;Stanford University;University of Arizona;University of California Berkeley;|
Arizona State University;Colorado State University;Idaho State University;Illinois State University;|
Georgia Institute of Technology;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;|
|
|
|
|
Northeastern University;Oklahoma State University Stillwater;SUNY Buffalo;University of Missouri Columbia;University of Oklahoma;Wayne State University;Clemson University;Mississippi State University;|SUNY Buffalo;University of Missouri Columbia;University of Oklahoma;Wayne State University;
Arizona State University;Northwestern University;University of California Davis;University of California Irvine;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Maryland College Park;University of Southern California;Virginia Polytechnic Institute and State University;|
Arizona State University;San Diego State University;San Jose State University;University of California Irvine;University of California Los Angeles;University of Massachusetts Amherst;|
|
|
Clemson University;Colorado State University;George Mason University;Illinois Institute of Technology;Iowa State University;Michigan Technological University;New Jersey Institute of Technology;New York University;North Carolina State University;Northeastern University;Polytechnic University of New York;Rochester Institute of Technology;San Jose State University;Southern Methodist University;SUNY Buffalo;Syracuse University;University of California Irvine;University of California Santa Barbara;University of Colorado Boulder;University of Illinois Chicago;University of Maryland College Park;University of Massachusetts Amherst;University of Missouri Rolla;University of North Carolina Charlotte;University of South Florida;University of Tennessee Knoxville;University of Texas Arlington;University of Texas Austin;University of Texas Dallas;|
Northeastern University;Polytechnic University of New York;University of Maryland College Park;|Northeastern University;Polytechnic University of New York;University of Maryland College Park;
|
California Institute of Technology;University of California Davis;University of California Irvine;University of Florida;University of Southern California;|
Chicago State University;Florida State University;Illinois Institute of Technology;Kentucky State University;Ohio State University Columbus;Pennsylvania State University;Purdue University;|
Eastern Illinois University;McNeese State University;Southern Illinois University Carbondale;Southern New Hampshire University;University of South Alabama;|
|
|
Arizona State University;University of California Davis;University of California Irvine;University of California Riverside;University of Southern California;|
|
|
|
Georgia Institute of Technology;University of Illinois Urbana-Champaign;University of Southern California;University of Texas Austin;|
|
San Diego State University;|
Arizona State University;North Carolina State University;Northeastern University;University of Florida;University of Massachusetts Amherst;University of Utah;University of Minnesota Twin Cities;|
Florida International University;University of Florida;|
California State University Los Angeles;California State University Northridge;University of California Los Angeles;University of California San Francisco;University of Southern California;University of Texas Arlington;University of Texas Dallas;|
|
Michigan State University;Portland State University;University of Oregon;|Michigan State University;Portland State University;University of Oregon;
Texas A&M University Texas A&M International University (Laredo);University of Delaware;University of Southern California;University of California Irvine;Arizona State University;Georgia Institute of Technology;Pennsylvania State University;|University of California Irvine;
|
|
University of California Irvine;University of Southern California;Rutgers University;University of Illinois Chicago;Arizona State University;Georgia Institute of Technology;North Carolina State University;Texas A&M University College Station;University of Florida;|Rutgers University;University of Illinois Chicago;
SUNY Buffalo;University of Texas Austin;University of Texas Dallas;Virginia Polytechnic Institute and State University;|
|
Cornell University;Georgia Institute of Technology;Texas A&M University College Station;University of California Los Angeles;University of Maryland College Park;University of Texas Austin;|
Virginia Polytechnic Institute and State University;Carnegie Mellon University;University of Pennsylvania;Columbia University;University of Colorado Boulder;|Carnegie Mellon University;University of Pennsylvania;
|
Arizona State University;Carnegie Mellon University;Cornell University;Georgia Institute of Technology;Johns Hopkins University;Ohio State University Columbus;Purdue University;University of California Los Angeles;University of California San Diego;University of California Santa Barbara;University of Maryland College Park;University of Minnesota Twin Cities;University of Southern California;Virginia Polytechnic Institute and State University;|
|
|
Arizona State University;University of Arizona;University of Florida;|University of Arizona;
|
|
