University of Cincinnati;Bentley College;University of Texas Dallas;|Bentley College;University of Texas Dallas;
Georgia State University;Indiana University-Bloomington;Northeastern University;SUNY Buffalo;Syracuse University;Texas A&M University College Station;University of Arizona;University of Maryland College Park;University of Texas Dallas;|
|
Carnegie Mellon University;Johns Hopkins University;Illinois Institute of Technology;New York University;Northeastern University;University of Maryland College Park;Purdue University;|Illinois Institute of Technology;New York University;Northeastern University;University of Maryland College Park;
Bentley College;Carnegie Mellon University;Indiana University-Bloomington;SUNY Buffalo;University of Arizona;University of California Irvine;University of California Los Angeles;University of Cincinnati;University of Southern California;|
Syracuse University;Illinois Institute of Technology;Northeastern University;University of Arizona;University of Dallas;University of Maryland College Park;University of Cincinnati;University of Illinois Chicago;|Illinois Institute of Technology;Northeastern University;University of Arizona;University of Dallas;University of Maryland College Park;
University of Texas Dallas;Illinois Institute of Technology;Northeastern University;Georgia State University;University of Arizona;University of Illinois Chicago;|Illinois Institute of Technology;Northeastern University;
Georgia State University;Oklahoma State University Stillwater;SUNY Buffalo;University of Arizona;University of Illinois Chicago;University of Cincinnati;|Georgia State University;Oklahoma State University Stillwater;SUNY Buffalo;University of Arizona;University of Illinois Chicago;
Oklahoma State University Stillwater;Texas Tech University;University of Illinois Springfield;University of South Florida;University of Texas Arlington;University of Texas Dallas;|
Georgia State University;SUNY Buffalo;University of Arizona;University of Illinois Chicago;University of Texas Dallas;New York University;|SUNY Buffalo;University of Arizona;University of Illinois Chicago;University of Texas Dallas;
New York University;Carnegie Mellon University;Syracuse University;Texas A&M University College Station;University of Illinois Chicago;Indiana University-Bloomington;|Carnegie Mellon University;Syracuse University;Texas A&M University College Station;University of Illinois Chicago;
Duke University;Indiana University-Bloomington;New York University;Texas A&M University Texas A&M International University (Laredo);University of Arizona;University of Cincinnati;University of Illinois Chicago;|University of Illinois Chicago;
Syracuse University;University of Arizona;University of Illinois Chicago;University of South Florida;|University of South Florida;
University of Arizona;University of Illinois Chicago;University of South Florida;|University of Illinois Chicago;University of South Florida;
California State University Fresno;New Jersey Institute of Technology;University of Illinois Springfield;University of Nebraska Omaha;University of North Carolina Charlotte;University of Texas Dallas;|California State University Fresno;New Jersey Institute of Technology;University of Illinois Springfield;University of Nebraska Omaha;University of North Carolina Charlotte;University of Texas Dallas;
Arizona State University;San Jose State University;|
|
Boston University;Northeastern University;University of Massachusetts Boston;University of Massachusetts Lowell;Worcester Polytechnic Institute;|
University of Connecticut;University of Texas Austin;University of Cincinnati;|University of Cincinnati;
